dates,products,state,US,amount,card,fico,balance,income,Fraud
9/20/22,Shopping,AZ,TRUE,265.13,Amex,497,4458.16,79000,0
2/26/22,Shopping,AL,TRUE,40.73,Mastercard,671,8790.76,98000,0
9/3/22,Dining,AZ,TRUE,174.37,Visa,630,1810.96,11000,0
5/23/22,Entertainment,AZ,TRUE,439.98,Visa,772,17916.99,426000,0
11/9/22,Shopping,AR,TRUE,243.7,Amex,455,7791.92,87000,0
7/22/22,Travel,NE,TRUE,977.6,Amex,619,-341.59,143000,0
8/14/22,Dining,AR,TRUE,72.19,Visa,666,1841.61,53000,0
11/12/22,Entertainment,AZ,TRUE,197.16,Discover,701,183.29,183000,0
6/13/22,Dining,AL,TRUE,91.27,Visa,780,1021.8,125000,0
12/10/22,Shopping,AZ,TRUE,255.95,Amex,612,6358.92,52000,0
1/8/22,Entertainment,AL,TRUE,50.79,Mastercard,708,1743.3,34000,0
6/8/22,Groceries,AR,TRUE,80.39,Mastercard,633,1706.31,144000,0
11/1/22,Entertainment,AR,TRUE,149.77,Visa,685,980.02,184000,1
5/16/22,Entertainment,AK,TRUE,311.06,Amex,570,5188.01,57000,0
1/30/22,Travel,NA,FALSE,1465.43,Visa,576,4385.59,46000,0
2/10/22,Shopping,AL,TRUE,151.55,Visa,738,1059.23,143000,0
6/11/22,Shopping,CA,TRUE,146.5,Amex,755,1644.9,153000,0
8/4/22,Shopping,AK,TRUE,92.28,Visa,675,1389.3,47000,0
7/4/22,Entertainment,AK,TRUE,86.38,Amex,561,1178.3,22000,0
4/21/22,Groceries,NC,TRUE,82.35,Amex,543,-51.97,173000,0
10/8/22,Entertainment,AL,TRUE,109.07,Mastercard,581,1958.71,19000,0
8/3/22,Travel,NA,FALSE,268.38,Amex,678,1786.02,52000,0
5/29/22,Entertainment,AL,TRUE,199.99,Amex,752,-66.56,140000,0
2/10/22,Shopping,AK,TRUE,1443.32,Visa,721,20352.03,463000,1
2/11/22,Shopping,NA,FALSE,78.86,Discover,687,2424.58,25000,0
8/23/22,Shopping,AL,TRUE,99.6,Visa,640,1782.39,24000,0
4/3/22,Entertainment,AL,TRUE,319.93,Mastercard,589,4072.69,80000,0
12/4/22,Shopping,AL,TRUE,157.5,Mastercard,801,892.98,148000,0
6/12/22,Groceries,AL,TRUE,128.73,Mastercard,711,1951.83,45000,0
7/7/22,Groceries,AZ,TRUE,143.3,Visa,561,4674.56,63000,0
4/10/22,Entertainment,NA,FALSE,215.51,Visa,823,1700.89,129000,0
7/11/22,Groceries,AL,TRUE,138.04,Amex,663,6341.88,86000,0
1/26/22,Shopping,AL,TRUE,256.44,Amex,525,5073.98,94000,0
8/1/22,Shopping,AL,TRUE,62.04,Visa,644,3271.17,101000,1
5/5/22,Groceries,PA,TRUE,79.64,Amex,417,11179.61,85000,0
11/25/22,Shopping,NA,FALSE,233.72,Amex,597,2566.35,47000,0
1/5/22,Groceries,AZ,TRUE,88.87,Visa,782,598.92,122000,0
11/29/22,Shopping,NA,FALSE,150.97,Mastercard,648,727.08,127000,0
8/28/22,Groceries,NA,FALSE,93.9,Visa,654,2235.33,62000,0
4/20/22,Dining,AL,TRUE,241.7,Amex,414,4085.52,65000,0
2/8/22,Entertainment,AZ,TRUE,80.48,Visa,595,1472.6,18000,0
12/28/22,Entertainment,AZ,TRUE,91.27,Amex,677,11849.77,85000,0
11/5/22,Groceries,AL,TRUE,160.67,Visa,560,1910.72,18000,0
4/10/22,Shopping,AL,TRUE,52.55,Visa,678,1540.49,20000,0
5/1/22,Shopping,AZ,TRUE,143.91,Amex,587,845.12,135000,0
12/14/22,Groceries,AL,TRUE,32.27,Visa,759,1052.54,155000,1
10/19/22,Groceries,NA,FALSE,135.36,Mastercard,705,2358.95,53000,0
10/3/22,Travel,NA,FALSE,1518.58,Visa,580,6298.97,65000,0
1/15/22,Entertainment,AZ,TRUE,199.02,Amex,592,8.53,143000,0
8/13/22,Shopping,AL,TRUE,252.62,Amex,454,5535.72,104000,0
2/18/22,Entertainment,AL,TRUE,51.33,Visa,681,2634.05,50000,0
11/25/22,Shopping,AK,TRUE,97.43,Visa,686,1386.29,52000,1
11/21/22,Groceries,AZ,TRUE,135.58,Amex,639,4698.47,78000,0
10/30/22,Entertainment,NA,FALSE,208.49,Visa,665,224.81,153000,0
6/20/22,Shopping,AR,TRUE,143.9,Mastercard,554,-2.39,105000,0
6/4/22,Groceries,GA,TRUE,164.71,Mastercard,527,4391.36,61000,0
2/4/22,Dining,AK,TRUE,99.88,Amex,727,3282.4,125000,0
1/11/22,Shopping,NA,FALSE,259.91,Amex,444,7049.72,110000,0
10/18/22,Groceries,NA,FALSE,207.55,Discover,552,1551.35,14000,0
1/18/22,Shopping,AR,TRUE,148.44,Visa,681,2483.39,131000,0
12/27/22,Shopping,AZ,TRUE,249.92,Amex,512,5889.37,119000,0
10/12/22,Dining,NA,FALSE,84.37,Discover,628,1751.87,41000,0
4/10/22,Entertainment,OR,TRUE,192.55,Mastercard,737,275.05,160000,0
10/11/22,Entertainment,AK,TRUE,47.52,Mastercard,653,2177.8,18000,0
10/5/22,Entertainment,AL,TRUE,52.5,Mastercard,622,1542.22,36000,0
9/19/22,Dining,AK,TRUE,100.19,Discover,546,1680.53,145000,0
7/23/22,Entertainment,AZ,TRUE,97.38,Visa,523,1974.03,24000,0
5/6/22,Groceries,AL,TRUE,153.7,Visa,612,5849.93,84000,0
10/21/22,Entertainment,AL,TRUE,97.67,Visa,478,1381.95,11000,0
10/16/22,Shopping,AL,TRUE,141.59,Amex,846,2165.89,141000,0
11/10/22,Entertainment,AK,TRUE,156.98,Mastercard,611,9719.94,145000,1
11/23/22,Shopping,AL,TRUE,97.63,Visa,665,1986.19,43000,1
5/2/22,Entertainment,NA,FALSE,315.79,Amex,500,7559.62,88000,0
12/17/22,Entertainment,CA,TRUE,82.62,Mastercard,704,9112.51,97000,0
12/24/22,Shopping,AZ,TRUE,250.84,Visa,629,5498.18,71000,0
4/7/22,Entertainment,AL,TRUE,80.91,Discover,579,1262.37,21000,0
5/17/22,Groceries,NA,FALSE,137.86,Visa,556,7412.67,82000,0
5/1/22,Groceries,AL,TRUE,87.81,Amex,701,9058.65,93000,0
6/10/22,Entertainment,AL,TRUE,316.42,Visa,654,6191.71,99000,0
12/20/22,Groceries,AL,TRUE,235.14,Visa,575,1686.67,14000,0
12/20/22,Dining,NA,FALSE,100.15,Discover,691,2307.43,183000,0
5/4/22,Groceries,AZ,TRUE,245.01,Visa,634,1834.01,25000,0
4/25/22,Travel,AL,TRUE,1428.91,Visa,547,4736.67,1.00E+05,0
3/22/22,Entertainment,AL,TRUE,292.95,Amex,547,4479.2,89000,0
11/6/22,Dining,CA,TRUE,178.36,Visa,572,1952.06,21000,0
3/30/22,Groceries,AL,TRUE,127.52,Visa,776,5778.56,1.00E+05,0
11/20/22,Groceries,AL,TRUE,114.52,Amex,644,2445.11,45000,0
5/22/22,Shopping,AL,TRUE,246.55,Mastercard,506,3687.82,47000,0
7/7/22,Entertainment,NA,FALSE,112.77,Visa,713,1324.9,21000,0
6/5/22,Groceries,AZ,TRUE,228.19,Discover,652,826.38,21000,0
1/24/22,Entertainment,AL,TRUE,195.52,Discover,619,363,160000,0
10/7/22,Dining,AL,TRUE,219.63,Visa,655,6073.98,69000,0
11/18/22,Entertainment,AL,TRUE,182.03,Visa,725,1047.83,141000,0
2/15/22,Groceries,AL,TRUE,222.23,Visa,634,1897.37,18000,0
4/30/22,Entertainment,AL,TRUE,337.07,Visa,556,6690.71,1.00E+05,0
5/28/22,Shopping,AZ,TRUE,46.07,Mastercard,553,9758.45,80000,0
11/11/22,Shopping,NA,FALSE,71.02,Amex,653,1713.93,16000,0
10/8/22,Shopping,NA,FALSE,101.19,Discover,701,2247,45000,0
11/21/22,Shopping,AZ,TRUE,241.19,Amex,520,6850.6,47000,0
1/10/22,Entertainment,AL,TRUE,207.43,Amex,677,1411.74,133000,0
7/29/22,Shopping,AK,TRUE,93.95,Visa,708,2165.04,39000,0
2/4/22,Entertainment,AL,TRUE,201.41,Visa,652,924.68,133000,0
3/16/22,Shopping,AK,TRUE,85.63,Amex,582,1137.06,20000,0
10/9/22,Shopping,AZ,TRUE,146.15,Discover,700,2315.5,94000,0
2/10/22,Dining,AZ,TRUE,176.74,Mastercard,656,5382.86,76000,0
9/9/22,Entertainment,AL,TRUE,265.53,Amex,495,3699.42,72000,0
3/12/22,Groceries,KY,TRUE,127.12,Mastercard,636,2203.65,34000,0
12/26/22,Groceries,AZ,TRUE,100.74,Visa,681,522.26,132000,0
12/24/22,Groceries,NA,FALSE,95.61,Visa,613,372.59,145000,0
10/9/22,Shopping,NM,TRUE,143.54,Mastercard,632,3038.91,129000,0
11/19/22,Dining,AL,TRUE,151.06,Discover,568,1730.15,26000,0
7/24/22,Shopping,NA,FALSE,85.48,Visa,644,7944.66,81000,1
2/21/22,Groceries,NA,FALSE,74,Visa,586,9834.86,125000,0
12/25/22,Dining,AL,TRUE,94.59,Visa,694,1513.92,126000,0
5/8/22,Groceries,AL,TRUE,184.26,Visa,513,1019.08,18000,0
10/27/22,Shopping,AZ,TRUE,40.72,Visa,744,1573.62,37000,1
9/26/22,Groceries,AL,TRUE,161.35,Amex,559,4337.12,63000,0
11/22/22,Shopping,AZ,TRUE,256.43,Amex,331,4974.97,72000,0
5/15/22,Entertainment,AL,TRUE,273.86,Mastercard,609,4034.56,111000,0
4/17/22,Dining,AK,TRUE,184.7,Visa,598,3583.86,89000,0
1/31/22,Dining,AZ,TRUE,171.67,Amex,694,2408.79,91000,0
11/24/22,Entertainment,AL,TRUE,256.17,Amex,537,4983.51,74000,0
10/5/22,Shopping,AL,TRUE,255.98,Visa,454,2607.68,70000,0
5/20/22,Entertainment,NA,FALSE,404.48,Amex,813,18779.15,472000,0
10/8/22,Entertainment,AL,TRUE,312.37,Visa,536,2692.33,88000,0
9/13/22,Entertainment,AL,TRUE,328.6,Amex,569,4312.1,87000,0
6/25/22,Groceries,AZ,TRUE,147.63,Visa,570,5582.9,97000,0
8/31/22,Entertainment,NY,TRUE,56.16,Visa,723,1916.73,45000,0
3/10/22,Groceries,AZ,TRUE,263.5,Amex,794,10810.18,487000,0
11/9/22,Shopping,AZ,TRUE,148.63,Discover,717,788.53,1.00E+05,0
12/3/22,Shopping,AL,TRUE,44.24,Mastercard,621,10219.43,146000,1
5/15/22,Groceries,NA,FALSE,221.74,Visa,656,1427.7,20000,0
8/5/22,Groceries,NA,FALSE,83.27,Mastercard,609,606.32,170000,0
6/28/22,Groceries,CA,TRUE,119.24,Mastercard,623,1134.87,50000,0
8/20/22,Dining,AZ,TRUE,186.38,Discover,543,5021.67,68000,0
9/26/22,Shopping,AK,TRUE,85.23,Visa,727,1869.07,38000,0
7/28/22,Entertainment,NA,FALSE,311.42,Amex,452,6815.91,73000,0
1/24/22,Dining,SC,TRUE,212.86,Amex,614,8256.17,77000,0
2/2/22,Shopping,AR,TRUE,257.75,Visa,614,4576.28,74000,0
6/28/22,Groceries,AL,TRUE,72.77,Discover,589,880.1,159000,0
11/8/22,Shopping,AR,TRUE,60.39,Visa,788,796.9,123000,1
8/21/22,Shopping,AK,TRUE,58.36,Discover,631,1727.13,19000,0
3/3/22,Entertainment,AL,TRUE,114.77,Visa,586,568.34,14000,0
11/25/22,Shopping,AZ,TRUE,75.91,Mastercard,616,1573.4,18000,0
1/22/22,Dining,AZ,TRUE,290.6,Amex,840,18050.43,550000,0
10/31/22,Entertainment,AL,TRUE,93.19,Mastercard,730,8835.43,85000,0
8/1/22,Groceries,AK,TRUE,214.3,Discover,548,1242.15,18000,0
1/14/22,Entertainment,AL,TRUE,204.46,Mastercard,709,488.35,152000,0
6/17/22,Groceries,AL,TRUE,124.32,Amex,705,2044.68,52000,0
1/30/22,Groceries,AR,TRUE,114.26,Discover,656,1858.77,33000,0
1/14/22,Dining,NA,FALSE,193.55,Amex,467,7390.21,90000,0
6/25/22,Groceries,AL,TRUE,80.27,Discover,537,65.77,160000,0
6/24/22,Groceries,AZ,TRUE,125.33,Discover,716,1403.91,40000,0
7/28/22,Shopping,AL,TRUE,103.2,Amex,632,1132.53,140000,1
9/11/22,Entertainment,AZ,TRUE,96.42,Visa,662,1214.93,10000,0
8/6/22,Shopping,AL,TRUE,76.83,Visa,602,59.7,159000,1
1/21/22,Groceries,AL,TRUE,118.03,Discover,696,2451.75,47000,0
6/30/22,Shopping,AR,TRUE,109.63,Mastercard,695,1600.11,41000,0
9/9/22,Dining,AK,TRUE,173.63,Mastercard,464,6062.29,87000,0
3/6/22,Groceries,AL,TRUE,225.29,Visa,553,1710.41,7000,0
12/16/22,Entertainment,AL,TRUE,198.7,Visa,745,291.05,131000,0
11/4/22,Shopping,AK,TRUE,93.77,Visa,621,9020.56,106000,1
6/30/22,Groceries,AZ,TRUE,84.04,Mastercard,713,-259.61,145000,0
2/12/22,Shopping,AL,TRUE,252.27,Mastercard,489,4914.23,95000,0
2/28/22,Shopping,AL,TRUE,148.23,Mastercard,758,-692.68,169000,0
11/12/22,Groceries,AL,TRUE,164.1,Visa,513,4761.68,85000,0
10/24/22,Entertainment,AK,TRUE,112.95,Visa,658,872.68,22000,0
8/20/22,Groceries,AR,TRUE,151.92,Amex,524,5559.94,86000,0
10/17/22,Travel,AL,TRUE,972.12,Visa,850,-654.74,156000,0
8/18/22,Travel,AL,TRUE,269.72,Mastercard,660,2537.13,30000,0
7/31/22,Entertainment,AL,TRUE,52.65,Amex,725,1627.18,58000,0
10/20/22,Shopping,NA,FALSE,85.72,Mastercard,659,1762.49,50000,0
11/15/22,Groceries,NA,FALSE,124.09,Visa,748,2239.59,28000,0
5/15/22,Groceries,AL,TRUE,147.95,Mastercard,477,4139.23,54000,0
7/28/22,Groceries,AR,TRUE,89.26,Amex,646,1252.75,143000,0
3/25/22,Entertainment,AL,TRUE,269.56,Amex,556,5257,94000,0
11/20/22,Groceries,AZ,TRUE,170.79,Visa,470,6616.48,70000,0
1/8/22,Groceries,AL,TRUE,180.36,Visa,619,5144.34,116000,0
7/14/22,Groceries,NA,FALSE,109.66,Discover,670,3056.68,27000,0
12/22/22,Entertainment,AL,TRUE,320.74,Mastercard,507,6091.47,96000,0
6/16/22,Entertainment,AL,TRUE,187.56,Visa,730,1068.24,103000,0
10/1/22,Shopping,AL,TRUE,243.59,Amex,574,2207.82,91000,0
2/26/22,Groceries,AR,TRUE,77.72,Mastercard,739,11226.92,96000,0
12/12/22,Travel,AL,TRUE,919.02,Mastercard,635,2129.86,20000,1
1/14/22,Groceries,AL,TRUE,127.47,Visa,673,1728.45,24000,0
7/24/22,Entertainment,NA,FALSE,187.45,Mastercard,748,715.73,150000,0
4/3/22,Shopping,AL,TRUE,52.99,Discover,530,10019.14,134000,0
7/9/22,Entertainment,NA,FALSE,103.41,Visa,540,10262.55,53000,0
1/31/22,Entertainment,NA,FALSE,90.28,Amex,501,2049.07,28000,0
6/4/22,Dining,NV,TRUE,108.16,Visa,702,674.03,111000,0
4/22/22,Groceries,AL,TRUE,179.28,Mastercard,540,5878.42,91000,0
11/19/22,Entertainment,NA,FALSE,308.46,Mastercard,572,4331.46,94000,0
3/7/22,Dining,AK,TRUE,79.58,Discover,720,280.19,35000,0
7/2/22,Shopping,NA,FALSE,100.91,Mastercard,632,1795.38,38000,0
8/17/22,Groceries,WA,TRUE,227.61,Discover,618,1734.6,16000,0
3/12/22,Shopping,NC,TRUE,140.18,Amex,705,1422.43,141000,0
3/6/22,Groceries,AL,TRUE,80.8,Discover,747,9391.27,125000,0
9/28/22,Groceries,AL,TRUE,66.32,Mastercard,710,293.57,114000,0
6/3/22,Dining,AZ,TRUE,216.26,Mastercard,415,910.77,78000,0
4/7/22,Shopping,NA,FALSE,65.08,Amex,647,2571.22,150000,1
7/25/22,Entertainment,NA,FALSE,89.88,Discover,661,438.64,20000,0
5/3/22,Dining,AK,TRUE,199.77,Mastercard,558,4587.14,83000,0
11/24/22,Shopping,AZ,TRUE,141.77,Discover,807,2944.25,157000,0
9/21/22,Shopping,AZ,TRUE,260.41,Mastercard,612,4050.35,34000,0
3/29/22,Groceries,NA,FALSE,75.99,Discover,850,-304.94,136000,0
7/2/22,Entertainment,NA,FALSE,192.71,Visa,736,1437.31,167000,0
5/29/22,Shopping,AL,TRUE,98.42,Mastercard,664,1601.25,50000,0
11/7/22,Shopping,AK,TRUE,156.73,Visa,810,-236.72,141000,0
7/31/22,Groceries,AL,TRUE,71.35,Mastercard,705,2196.69,139000,0
8/19/22,Dining,AL,TRUE,88.43,Visa,631,1668.89,51000,0
5/6/22,Groceries,AL,TRUE,81.03,Discover,726,1295.72,165000,0
11/30/22,Groceries,AL,TRUE,117.62,Visa,672,1839.91,39000,0
12/23/22,Groceries,AL,TRUE,277.56,Amex,792,23003.18,553000,0
6/10/22,Travel,AL,TRUE,1084.5,Amex,761,-1160.44,158000,0
6/13/22,Groceries,AR,TRUE,176.59,Visa,583,1621.09,25000,0
11/12/22,Shopping,AR,TRUE,154.41,Mastercard,827,239.17,157000,0
7/5/22,Groceries,AK,TRUE,132.77,Mastercard,617,5990.32,92000,0
9/24/22,Shopping,AL,TRUE,255.05,Amex,436,5321.52,83000,0
8/28/22,Entertainment,NA,FALSE,211.69,Discover,665,1357.14,158000,0
1/18/22,Entertainment,AL,TRUE,308.64,Amex,630,2875.53,67000,0
12/22/22,Shopping,KS,TRUE,152.99,Mastercard,595,2587.94,156000,0
1/15/22,Shopping,CA,TRUE,148.23,Visa,774,186.05,139000,0
11/11/22,Shopping,AL,TRUE,250.24,Amex,594,5368.57,61000,0
6/3/22,Entertainment,AL,TRUE,103.71,Visa,479,2044.45,19000,0
8/24/22,Shopping,AL,TRUE,91.65,Amex,619,1748.55,44000,0
12/9/22,Entertainment,NA,FALSE,85.72,Visa,549,815.62,18000,0
7/2/22,Entertainment,AL,TRUE,217.27,Mastercard,662,-181.44,141000,0
12/5/22,Shopping,AK,TRUE,262.92,Amex,714,4817.87,62000,0
8/11/22,Entertainment,MS,TRUE,218.02,Discover,664,708.74,146000,0
4/29/22,Groceries,AZ,TRUE,129.27,Amex,640,2053.31,56000,0
8/25/22,Entertainment,AL,TRUE,307.32,Visa,614,7714.6,94000,0
12/3/22,Shopping,AK,TRUE,80.69,Amex,653,1001.25,47000,0
9/5/22,Entertainment,AR,TRUE,49.33,Visa,697,1483.43,51000,0
11/14/22,Dining,AZ,TRUE,90.38,Amex,842,1471.05,149000,0
6/4/22,Entertainment,GA,TRUE,200.32,Amex,732,1026.11,134000,0
3/6/22,Entertainment,AL,TRUE,196.21,Amex,761,-608.95,166000,0
12/17/22,Entertainment,AL,TRUE,302.25,Amex,473,5634.31,61000,0
6/20/22,Groceries,AL,TRUE,169.26,Visa,634,359.66,16000,0
11/19/22,Shopping,AL,TRUE,1002.34,Discover,768,20896.41,310000,0
7/23/22,Shopping,AZ,TRUE,63.25,Discover,566,2497.75,15000,0
4/12/22,Groceries,AL,TRUE,88.21,Visa,610,-56.01,141000,0
10/20/22,Entertainment,MI,TRUE,42.32,Visa,692,3195.29,47000,0
3/20/22,Shopping,NA,FALSE,91.53,Amex,673,2600.79,52000,0
11/17/22,Shopping,AL,TRUE,149.91,Mastercard,586,411.57,163000,0
3/3/22,Groceries,AR,TRUE,77.08,Discover,731,1330.77,120000,0
3/8/22,Groceries,AZ,TRUE,237.66,Visa,651,1260.73,19000,0
2/11/22,Dining,AL,TRUE,131.35,Mastercard,586,8968.49,90000,0
12/14/22,Shopping,AZ,TRUE,55.72,Mastercard,665,1629.21,39000,1
7/30/22,Entertainment,AZ,TRUE,297.38,Visa,504,5253.23,66000,0
3/5/22,Shopping,AL,TRUE,44.48,Amex,574,11441.93,55000,0
7/14/22,Groceries,AL,TRUE,208.41,Discover,529,2034.35,23000,0
11/21/22,Shopping,AZ,TRUE,84.84,Discover,678,1279.82,19000,0
7/30/22,Groceries,CA,TRUE,121.69,Mastercard,650,2532.6,56000,0
1/6/22,Groceries,AZ,TRUE,114.23,Visa,730,2633.75,39000,0
8/28/22,Dining,AZ,TRUE,93.81,Mastercard,752,1459.88,125000,0
12/19/22,Entertainment,AL,TRUE,202.03,Discover,698,-347.77,121000,0
7/23/22,Dining,AK,TRUE,122.76,Discover,520,438.41,6000,0
11/28/22,Groceries,AL,TRUE,73.49,Visa,567,-316.73,120000,0
11/24/22,Shopping,NA,FALSE,51.58,Mastercard,705,7767.61,98000,0
3/4/22,Shopping,AL,TRUE,157.77,Mastercard,692,1303.1,151000,0
7/9/22,Entertainment,NA,FALSE,109.43,Visa,648,1375.67,23000,0
6/17/22,Shopping,AK,TRUE,137.23,Mastercard,647,1770.26,49000,0
4/17/22,Groceries,AL,TRUE,233.77,Discover,578,1484.09,24000,0
11/19/22,Groceries,AZ,TRUE,171.66,Discover,622,1321.47,28000,0
11/5/22,Groceries,NA,FALSE,152.12,Mastercard,438,4508.44,105000,0
6/11/22,Groceries,NA,FALSE,146.82,Amex,561,6195.28,59000,0
8/14/22,Entertainment,SC,TRUE,52.19,Mastercard,667,1838.86,31000,0
1/4/22,Shopping,AL,TRUE,95.01,Visa,660,1549.76,25000,0
6/22/22,Dining,AZ,TRUE,188.62,Mastercard,550,2951.76,88000,0
12/31/22,Groceries,AL,TRUE,200.92,Discover,582,983.16,23000,0
2/22/22,Dining,AL,TRUE,173.12,Visa,568,4925.3,98000,0
4/11/22,Entertainment,AL,TRUE,470.15,Mastercard,678,15816.03,495000,0
1/18/22,Shopping,NJ,TRUE,88.91,Amex,709,820.94,35000,0
11/17/22,Dining,AZ,TRUE,78.77,Amex,850,4338.21,167000,0
12/22/22,Shopping,AZ,TRUE,49.37,Mastercard,495,10792.46,77000,0
6/1/22,Groceries,AL,TRUE,168.45,Mastercard,518,4500.02,81000,0
5/23/22,Shopping,AK,TRUE,77.94,Visa,583,1313.41,20000,0
9/1/22,Groceries,NC,TRUE,86.16,Amex,829,496.11,140000,0
9/11/22,Shopping,AL,TRUE,43.05,Mastercard,725,8827.14,88000,0
2/4/22,Entertainment,AL,TRUE,112.27,Visa,572,2299.29,7000,0
5/13/22,Dining,AK,TRUE,135.38,Discover,598,1061.3,25000,0
3/26/22,Entertainment,AL,TRUE,101.99,Amex,572,1426.54,18000,0
4/12/22,Shopping,NA,FALSE,60.63,Visa,533,9267.68,105000,1
7/19/22,Groceries,AL,TRUE,123.21,Amex,655,1823.58,50000,0
7/21/22,Shopping,AZ,TRUE,100.08,Amex,718,2330.2,69000,0
10/2/22,Groceries,AL,TRUE,119.92,Visa,497,5451.75,89000,0
